,CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,City,State
405,"Sacramento--Roseville--Arden-Arcade, CA",40900,2015,365,123,202,36,4,0,0,179,101,61,0,1,208,156,0,Sacramento--Roseville--Arden-Arcade, CA
408,"Salinas, CA",41500,2015,365,331,33,1,0,0,0,120,50,37,0,2,258,80,25,Salinas, CA
412,"San Diego-Carlsbad, CA",41740,2015,365,91,233,40,1,0,0,155,102,61,0,8,208,147,2,San Diego-Carlsbad, CA
413,"San Francisco-Oakland-Hayward, CA",41860,2015,365,198,153,14,0,0,0,147,80,48,0,21,163,181,0,San Francisco-Oakland-Hayward, CA
414,"San Jose-Sunnyvale-Santa Clara, CA",41940,2015,365,231,127,7,0,0,0,147,77,46,0,7,222,135,1,San Jose-Sunnyvale-Santa Clara, CA
416,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2015,365,163,197,5,0,0,0,126,80,53,0,0,191,148,26,San Luis Obispo-Paso Robles-Arroyo Grande, CA
419,"Santa Cruz-Watsonville, CA",42100,2015,365,320,45,0,0,0,0,94,54,35,0,0,254,111,0,Santa Cruz-Watsonville, CA
421,"Santa Maria-Santa Barbara, CA",42200,2015,365,249,115,1,0,0,0,101,67,45,0,3,251,106,5,Santa Maria-Santa Barbara, CA
422,"Santa Rosa, CA",42220,2015,365,321,44,0,0,0,0,88,53,35,0,1,267,94,3,Santa Rosa, CA
444,"Sonora, CA",43760,2015,364,264,89,11,0,0,0,126,77,43,0,0,364,0,0,Sonora, CA
459,"Stockton-Lodi, CA",44700,2015,365,138,191,32,4,0,0,164,100,56,0,1,170,188,6,Stockton-Lodi, CA
475,"Truckee-Grass Valley, CA",46020,2015,364,217,116,29,2,0,0,166,93,47,0,0,356,8,0,Truckee-Grass Valley, CA
482,"Ukiah, CA",46380,2015,365,302,59,2,2,0,0,160,55,38,0,0,136,229,0,Ukiah, CA
486,"Vallejo-Fairfield, CA",46700,2015,365,246,115,4,0,0,0,118,74,44,0,6,201,157,1,Vallejo-Fairfield, CA
493,"Visalia-Porterville, CA",47300,2015,365,50,217,78,20,0,0,170,143,78,0,0,206,154,5,Visalia-Porterville, CA
523,"Yuba City, CA",49700,2015,365,194,163,8,0,0,0,119,84,49,1,2,233,129,0,Yuba City, CA
30,"Bakersfield, CA",12540,2016,366,70,180,102,14,0,0,169,136,80,0,0,231,128,7,Bakersfield, CA
47,"Bishop, CA",13860,2016,366,244,99,15,4,1,3,426,87,44,0,0,313,16,37,Bishop, CA
86,"Chico, CA",17020,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0,Chico, CA
91,"Clearlake, CA",17340,2016,365,358,7,0,0,0,0,74,44,33,0,0,363,2,0,Clearlake, CA
109,"Crescent City, CA",18860,2016,177,172,5,0,0,0,0,65,40,20,0,0,0,177,0,Crescent City, CA
138,"El Centro, CA",20940,2016,366,105,216,39,3,1,2,541,105,60,0,2,144,90,130,El Centro, CA
149,"Eureka-Arcata-Fortuna, CA",21700,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6,Eureka-Arcata-Fortuna, CA
170,"Fresno, CA",23420,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12,Fresno, CA
198,"Hanford-Corcoran, CA",25260,2016,366,85,207,71,3,0,0,156,115,70,0,0,184,133,49,Hanford-Corcoran, CA
278,"Los Angeles-Long Beach-Anaheim, CA",31080,2016,366,32,226,83,21,4,0,210,134,75,0,30,181,153,2,Los Angeles-Long Beach-Anaheim, CA
284,"Madera, CA",31460,2016,366,123,193,47,3,0,0,156,105,59,0,0,217,134,15,Madera, CA
297,"Merced, CA",32900,2016,366,158,173,33,2,0,0,151,100,53,0,0,225,138,3,Merced, CA
307,"Modesto, CA",33700,2016,366,147,176,40,3,0,0,164,103,55,0,1,202,159,4,Modesto, CA
325,"Napa, CA",34900,2016,366,296,70,0,0,0,0,90,56,37,0,2,166,197,1,Napa, CA
347,"Oxnard-Thousand Oaks-Ventura, CA",37100,2016,366,173,184,9,0,0,0,147,84,51,0,0,232,127,7,Oxnard-Thousand Oaks-Ventura, CA
383,"Red Bluff, CA",39780,2016,366,226,98,37,5,0,0,174,108,44,0,0,325,40,1,Red Bluff, CA
385,"Redding, CA",39820,2016,366,298,54,14,0,0,0,140,74,41,0,0,363,3,0,Redding, CA
389,"Riverside-San Bernardino-Ontario, CA",40140,2016,366,16,189,92,53,14,2,389,178,90,0,26,195,105,40,Riverside-San Bernardino-Ontario, CA
403,"Sacramento--Roseville--Arden-Arcade, CA",40900,2016,366,130,177,44,15,0,0,172,114,58,0,1,237,128,0,Sacramento--Roseville--Arden-Arcade, CA
406,"Salinas, CA",41500,2016,366,325,30,3,8,0,0,176,52,36,0,0,262,63,41,Salinas, CA
410,"San Diego-Carlsbad, CA",41740,2016,366,69,255,40,2,0,0,164,105,66,0,4,224,138,0,San Diego-Carlsbad, CA
411,"San Francisco-Oakland-Hayward, CA",41860,2016,366,216,135,13,2,0,0,154,74,47,0,10,168,188,0,San Francisco-Oakland-Hayward, CA
412,"San Jose-Sunnyvale-Santa Clara, CA",41940,2016,366,250,110,6,0,0,0,126,68,44,0,6,237,123,0,San Jose-Sunnyvale-Santa Clara, CA
414,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2016,366,177,180,8,1,0,0,156,84,51,0,0,249,75,42,San Luis Obispo-Paso Robles-Arroyo Grande, CA
417,"Santa Cruz-Watsonville, CA",42100,2016,366,347,19,0,0,0,0,72,45,32,0,0,255,111,0,Santa Cruz-Watsonville, CA
419,"Santa Maria-Santa Barbara, CA",42200,2016,366,261,93,9,2,0,1,315,67,44,0,0,259,72,35,Santa Maria-Santa Barbara, CA
420,"Santa Rosa, CA",42220,2016,366,348,18,0,0,0,0,87,44,32,0,0,298,64,4,Santa Rosa, CA
442,"Sonora, CA",43760,2016,354,223,86,38,7,0,0,164,108,44,0,0,354,0,0,Sonora, CA
457,"Stockton-Lodi, CA",44700,2016,366,138,202,25,1,0,0,166,93,55,0,2,144,217,3,Stockton-Lodi, CA
473,"Truckee-Grass Valley, CA",46020,2016,366,235,86,40,5,0,0,179,101,44,0,0,359,7,0,Truckee-Grass Valley, CA
480,"Ukiah, CA",46380,2016,364,334,30,0,0,0,0,66,45,33,0,0,193,167,4,Ukiah, CA
484,"Vallejo-Fairfield, CA",46700,2016,366,278,86,2,0,0,0,105,62,40,0,3,208,155,0,Vallejo-Fairfield, CA
491,"Visalia-Porterville, CA",47300,2016,366,80,162,102,22,0,0,177,145,77,0,0,222,137,7,Visalia-Porterville, CA
521,"Yuba City, CA",49700,2016,366,166,168,32,0,0,0,147,97,53,0,0,204,162,0,Yuba City, CA
29,"Bakersfield, CA",12540,2017,365,76,150,115,24,0,0,197,140,84,0,0,253,99,13,Bakersfield, CA
46,"Bishop, CA",13860,2017,365,204,136,16,3,0,6,2060,87,48,0,0,288,23,54,Bishop, CA
85,"Chico, CA",17020,2017,365,152,189,23,1,0,0,154,94,57,0,0,218,145,2,Chico, CA
90,"Clearlake, CA",17340,2017,362,350,10,1,1,0,0,166,44,35,0,0,350,10,2,Clearlake, CA
108,"Crescent City, CA",18860,2017,298,270,26,0,1,1,0,226,49,20,0,0,0,298,0,Crescent City, CA
138,"El Centro, CA",20940,2017,365,112,211,37,2,2,1,331,104,61,0,2,171,100,92,El Centro, CA
149,"Eureka-Arcata-Fortuna, CA",21700,2017,365,317,40,5,3,0,0,173,56,35,1,1,258,94,11,Eureka-Arcata-Fortuna, CA
170,"Fresno, CA",23420,2017,365,102,143,93,26,1,0,207,140,74,0,2,234,116,13,Fresno, CA
197,"Hanford-Corcoran, CA",25260,2017,365,96,198,50,21,0,0,181,125,70,0,0,201,122,42,Hanford-Corcoran, CA
276,"Los Angeles-Long Beach-Anaheim, CA",31080,2017,365,38,205,76,38,8,0,224,156,79,0,28,177,158,2,Los Angeles-Long Beach-Anaheim, CA
282,"Madera, CA",31460,2017,365,142,175,42,6,0,0,166,105,58,0,1,242,107,15,Madera, CA
295,"Merced, CA",32900,2017,364,162,168,31,3,0,0,158,100,54,0,0,213,149,2,Merced, CA
306,"Modesto, CA",33700,2017,365,156,146,55,8,0,0,185,112,58,0,1,228,128,8,Modesto, CA
324,"Napa, CA",34900,2017,365,230,121,7,5,2,0,249,67,43,1,1,113,250,0,Napa, CA
346,"Oxnard-Thousand Oaks-Ventura, CA",37100,2017,365,164,168,20,8,3,2,537,100,53,0,0,250,107,8,Oxnard-Thousand Oaks-Ventura, CA
382,"Red Bluff, CA",39780,2017,365,262,94,6,3,0,0,167,77,40,0,0,302,63,0,Red Bluff, CA
384,"Redding, CA",39820,2017,365,263,88,12,2,0,0,157,84,44,0,0,354,11,0,Redding, CA
388,"Riverside-San Bernardino-Ontario, CA",40140,2017,365,25,166,94,53,25,2,366,190,98,0,17,221,96,31,Riverside-San Bernardino-Ontario, CA
402,"Sacramento--Roseville--Arden-Arcade, CA",40900,2017,365,137,172,53,3,0,0,164,107,60,0,1,231,129,4,Sacramento--Roseville--Arden-Arcade, CA
405,"Salinas, CA",41500,2017,365,304,60,1,0,0,0,121,54,39,0,0,232,75,58,Salinas, CA
409,"San Diego-Carlsbad, CA",41740,2017,365,83,220,56,6,0,0,174,112,65,0,3,242,120,0,San Diego-Carlsbad, CA
410,"San Francisco-Oakland-Hayward, CA",41860,2017,365,169,180,8,7,1,0,205,78,52,0,18,103,244,0,San Francisco-Oakland-Hayward, CA
411,"San Jose-Sunnyvale-Santa Clara, CA",41940,2017,365,224,129,9,3,0,0,182,75,45,0,7,225,131,2,San Jose-Sunnyvale-Santa Clara, CA
413,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2017,365,143,214,8,0,0,0,133,80,54,0,0,211,111,43,San Luis Obispo-Paso Robles-Arroyo Grande, CA
416,"Santa Cruz-Watsonville, CA",42100,2017,365,312,49,4,0,0,0,130,56,35,0,0,228,137,0,Santa Cruz-Watsonville, CA
418,"Santa Maria-Santa Barbara, CA",42200,2017,365,247,101,6,9,2,0,281,74,44,0,0,253,98,14,Santa Maria-Santa Barbara, CA
419,"Santa Rosa, CA",42220,2017,365,311,49,2,3,0,0,165,55,38,0,0,249,114,2,Santa Rosa, CA
